user_id,date,is_weekend,sleep_duration,study_work_duration,break_duration,exercise_duration,downtime_duration,stress_level,mood_score,focus_score,task_planned,task_completed,completion_ratio,fatigue_index,cumulative_fatigue,productivity_score,productivity_label
1,2024-01-01,0,7.26,6.62,0.870000000000001,30.0,8.75,4,3,7,8,6,0.75,54.83,54.83,59.25,1
1,2024-01-02,0,7.58,8.47,0.0,54.0,8.15,6,5,2,10,0,0.0,66.41,55.99,40.42,0
1,2024-01-03,0,8.16,6.98,2.796666666666667,26.0,5.63,2,6,7,8,8,1.0,37.1,54.1,52.32,0
1,2024-01-04,0,7.57,8.36,0.10000000000000142,57.0,7.02,4,4,6,10,0,0.0,53.2,54.01,43.31,0
1,2024-01-05,0,7.89,6.89,3.0500000000000007,48.0,5.37,4,4,6,8,7,0.875,46.25,53.23,59.32,1
1,2024-01-06,1,7.89,2.39,6.0,26.0,6.75,5,7,6,3,3,1.0,47.18,52.63,60.59,1
1,2024-01-07,1,7.89,1.45,6.0,36.0,4.8,4,8,5,3,3,1.0,35.34,50.9,76.46,2
1,2024-01-08,0,7.89,7.13,1.8433333333333337,31.0,6.62,5,5,5,9,6,0.667,55.01,51.31,71.76,2
1,2024-01-09,0,8.08,7.63,0.2766666666666673,35.0,7.43,6,6,3,9,6,0.667,63.04,52.48,60.75,1
1,2024-01-10,0,6.67,8.81,2.1799999999999997,42.0,5.64,4,7,7,11,11,1.0,50.28,52.26,58.68,1
1,2024-01-11,0,8.24,5.98,2.663333333333334,34.0,6.55,5,7,4,7,5,0.714,52.84,52.32,59.54,1
1,2024-01-12,0,6.46,9.28,1.2766666666666673,20.0,6.65,5,6,7,11,4,0.364,58.79,52.97,59.52,1
1,2024-01-13,1,8.32,1.22,6.0,37.0,5.81,2,6,8,3,3,1.0,27.65,50.44,64.06,1
1,2024-01-14,1,7.04,1.69,6.0,51.0,6.88,5,6,8,3,3,1.0,46.33,50.03,73.06,2
1,2024-01-15,0,7.58,1.69,6.0,6.0,7.48,7,6,4,3,3,1.0,57.93,50.82,81.5,2
1,2024-01-16,0,6.92,8.4,1.629999999999999,48.0,6.25,6,6,4,10,4,0.4,61.2,51.85,67.02,1
1,2024-01-17,0,7.54,8.56,0.0,34.0,8.49,6,5,6,10,4,0.4,67.48,53.42,52.93,0
1,2024-01-18,0,7.51,7.38,2.979999999999997,6.0,6.03,2,7,9,9,4,0.444,38.86,51.96,49.08,0
1,2024-01-19,0,6.55,7.91,3.879999999999999,27.0,5.21,3,3,5,9,3,0.333,42.58,51.02,50.82,0
1,2024-01-20,1,8.46,2.04,6.0,72.0,5.87,3,9,8,3,3,1.0,34.23,49.34,66.55,1
1,2024-01-21,1,8.07,2.38,6.0,53.0,5.87,4,6,8,3,3,1.0,39.81,48.39,75.27,2
1,2024-01-22,0,8.07,2.38,6.0,35.0,5.78,4,5,5,3,3,1.0,39.57,47.51,85.13,2
1,2024-01-23,0,8.48,8.54,0.0,25.0,10.29,5,8,6,10,10,1.0,67.26,49.48,76.64,2
1,2024-01-24,0,7.57,6.4,3.813333333333336,28.0,5.75,3,6,8,8,6,0.75,41.42,48.68,71.53,2
1,2024-01-25,0,6.48,6.02,5.080000000000002,12.0,6.22,5,7,6,7,7,1.0,52.02,49.01,70.62,2
1,2024-01-26,0,6.76,8.62,2.0100000000000016,30.0,6.11,4,9,6,10,10,1.0,51.21,49.23,72.73,2
1,2024-01-27,1,7.78,1.53,6.0,3.0,6.15,3,5,6,3,3,1.0,34.1,47.72,75.29,2
1,2024-01-28,1,8.05,2.44,5.879999999999999,30.0,7.13,5,7,6,3,3,1.0,48.29,47.78,76.63,2
1,2024-01-29,0,6.2,2.44,6.0,34.0,7.21,4,3,5,3,3,1.0,43.5,47.35,78.43,2
1,2024-01-30,0,7.56,2.44,5.293333333333333,34.0,8.14,5,6,6,3,3,1.0,50.99,47.71,77.96,2
1,2024-01-31,0,6.52,8.69,0.0,48.0,8.03,3,6,7,10,7,0.7,51.47,48.09,70.6,2
1,2024-02-01,0,8.44,10.25,0.0,11.0,5.52,3,4,7,12,4,0.333,47.44,48.02,59.94,1
1,2024-02-02,0,6.07,8.56,2.4766666666666666,11.0,6.71,4,6,5,10,1,0.1,52.71,48.49,46.09,0
1,2024-02-03,1,7.46,1.89,5.406666666666666,53.0,8.36,4,7,8,3,3,1.0,45.63,48.21,55.0,1
1,2024-02-04,1,7.82,1.89,6.0,37.0,7.43,4,6,7,3,3,1.0,43.14,47.7,67.91,1
1,2024-02-05,0,8.39,8.02,3.7133333333333347,34.0,3.31,6,6,7,10,10,1.0,52.68,48.2,81.57,2
1,2024-02-06,0,6.75,8.67,0.22333333333333272,10.0,8.19,6,4,5,10,9,0.9,66.86,50.06,71.99,2
1,2024-02-07,0,6.48,7.84,3.703333333333333,10.0,5.81,2,7,6,9,9,1.0,39.06,48.96,69.1,1
1,2024-02-08,0,6.71,7.53,3.3099999999999987,12.0,6.25,8,4,4,9,9,1.0,69.71,51.04,64.75,1
1,2024-02-09,0,7.16,5.38,2.5,33.0,8.41,5,9,8,6,6,1.0,56.78,51.61,71.4,2
1,2024-02-10,1,7.77,2.23,6.0,25.0,4.22,5,6,8,3,3,1.0,40.14,50.46,74.83,2
1,2024-02-11,1,7.29,2.23,6.0,28.0,4.41,3,3,8,3,3,1.0,30.65,48.48,81.68,2
1,2024-02-12,0,8.65,7.51,2.8000000000000007,57.0,4.09,3,5,7,9,5,0.556,38.89,47.52,77.35,2
1,2024-02-13,0,7.3,8.51,0.5899999999999999,57.0,6.65,6,4,7,10,6,0.6,62.46,49.02,67.41,1
1,2024-02-14,0,6.62,8.64,0.0,49.0,8.28,1,7,7,10,7,0.7,42.05,48.32,59.02,1
1,2024-02-15,0,6.46,6.34,4.84,45.0,5.61,2,7,5,8,6,0.75,35.94,47.08,61.0,1
1,2024-02-16,0,8.2,7.95,0.4633333333333347,34.0,6.82,4,5,5,10,8,0.8,51.95,47.57,61.91,1
1,2024-02-17,1,7.93,2.23,6.0,32.0,5.6,4,6,4,3,3,1.0,38.83,46.7,67.57,1
1,2024-02-18,1,9.01,2.17,6.0,17.0,1.8500000000000005,3,7,6,3,3,1.0,23.69,44.39,72.24,2
1,2024-02-19,0,7.43,7.65,2.556666666666665,32.0,5.83,4,8,6,9,9,1.0,48.79,44.83,77.24,2
